sentiment,comments 
1,"Fantastic host, amazing apartment, perfect location. We thoroughly enjoyed our stay and highly recommend this place. Thanks again for having us."
1,A very good flat in Amsterdam. Very well comunicated by metro and tram with centrum or station train. Very close to the city center (5-10 mins approx).
-1,Awful place.  Hot water didn't work. Mice in apartment.  Attacked and ate our food. Was in the bed! Left and checked into hotel.  They told us and AirBnB they will refund us and cover cost of hotel but now won't speak to AirBnB despite AirBnB and my efforts.  We are now taking legal action and seeking compensation.  Ruined our trip completely.  We have them over a week to sort it out and refund us without leaving a bad review or anything and they haven't.  DO NOT STAY YOU HAVE BEEN WARNED 
1,"Loved this place. Erik and Marguerit were very flexible with some technicalities I had to work through with Airbnb, which was sincerely appreciated. The place was very clean, and larger than we expected. The ladder/steps below deck are steep, so keep that in mind. We also used the deck up top with a table and chairs, and a great view. About a 20 minute walk to Amsterdam Centraal, and we easily walked around the city. A few shops nearby that weren’t too crowded, as it is a little further from downtown. I would highly recommend this place! It was great for wanting to be close to everything, but not too close that everything is loud and crowded right outside your window. "
1,"Bram & Maartje’s apartment was a fantastic place a comfortable week’s stay in Amsterdam. Right on the canal. Cozy kitchen and living room, plenty of space. They were incredibly proactive, nice, and responsive during all of our communications. Wonderful hosts - I’d highly recommend their place for a stay! "
1,"Nice place, great location. Could be a little cleaner but overall not a bad experience. We arrived early and were accommodated and had beers on the house. The place was big enough for the 3 of us and everyone had a comfortable sleep. Thank you!"
0,"As he was working at night, me and my two friends just saw Malagueta the first day when we arrived his home. He was kind. 
The appartment was clean. 
The room was very tiny for 3 people and, in my opinion, overvaluated. The days, me and my friends, stayed at Malagueta's, where 7 in the appartment and just 1 bathroom. 
The appartment is well located: 20 minutes of citycentre and 15 from Central station. 
It is definitely not my best stay on Airbnb, but not a bad experience. If I could, I will choose another place in Ámsterdam."
0,"The description was accurate, the place is clean and nice. Only one problem, the guys who manage this. They are not the owners, they manage a bunch of properties.

We got to Amsterdam at 9am and the check in was supposed to be at 3pm. I asked for some flexibility, even if it was 1 or 2 hours before that time as we would be really tired of walking around plus we would leave flat at 8am on Friday (when the check out is supposed to be at 11am approx). 

They told us they couldn't do anything, that we could drop our bags in a place for cheap called Drop & Go (Cheap = 13 euros for 2 carry on for a couple of hours) and that they would give us the keys at 3pm. What they never clarified before booking is that they will give the keys to us in central Amsterdam, in the same place where we dropped our bags, and not in the property, that meant that we didn't get to flat until 3:30 / 4pm. Where's the 3pm check in then?? 

Seen this, first I was wondering why they weren't flexible, and the reason is just because they are lazy and they would rather go to central Amsterdam at 3pm and meet all the Airbnb hosts they have and give them the keys to all in one place. In this way they don't need to travel around the city and its easier for them. So we just waited walking around amsterdam for 5 to 6  hours with 30 degrees after waking up at 4am to catch my flight :) :) :)

THIS IS NOT WHAT AIRBNB IS SUPPOSED TO BE, this is companies making properties more expensive, charging the owners fees and giving an awful service to the hosts. Airbnb should make something about this, plus when we got to the apartment wifi was not working. 

Thanks Twan for understanding your hosts and being so flexible."
-1,"The communication with the owner was terrible she and kept out all the time! 

It started so that we 3 weeks ago asked whether we can previously apartment to let off our suitcases because our flight lands at 9 o'clock in the morning. 
They said no problem and for this reason we booked this apartment. 

So we then arrived it was said it was not possible because more guests in the apartment! Allegedly required 2 days between each new guests apartment to be cleaned? So, that was not the case too! Our check in was only 4 pm ! 
Not as discussed at 9 am and not like in the description given at 2 pm! 

When we then came in to the apartment it was still not finished! 

We had no bedding all days 
we asked the host but then no reply! 
So we had to sleep 4 days long without linen! 

Not to mention the cleanliness! The apartment was so dirty all cobwebs dirt and grime! The dishwasher was full of scruffy and dried dishes! 
Horrible! 

The best was still so the hostess and said yes how can her apartment but left and go if it doesn't fit us to a hotel? 
Please what ? we have paid €2000 for 3 Nights and then also clean and bedding and friendly service await! 

The host was rude, not helpful and the service of air bnb awful! No help from anyone impertinence! 

Never booket hier again! 

If you need help no one feels responsible "
1,Amazing hospitality and quick responses. I was checking-in very late and they accommodated my check-in and even thoughtfully contacted me when they heard the train I was going to take was having issues. Saskia and Bastiaan were very welcoming.
1,"Our group of six had a wonderful time in this beautiful home. The location is in a pleasant, walkable neighbourhood, with nearby restaurants, (food) shops, and the extensive Vondelpark. A tram stop is a few steps away, making for convenient trips into central Amsterdam. 

The bedrooms were clean and comfortable, and the home had communal space to get together in the kitchen/dining/outside, as well as enough space to spread out too. The three floors are connected by steep stairs (typical of this kind of house), so this should be taken into account, as the showers are on the upper floor and the kitchen/dining on the lower.

The pre-arrival communication and check-in were very smooth, with useful information provided about local restaurants, neighbourhood stores, and Amsterdam activities. A very positive experience for our first Airbnb rental, definitely recommended.
"
1,"Very nice hotel in a dead neighborhood, great concept for light travelers, friendly staff, clean shared bathrooms, the small size secret bookcase room are awfully small, you can hardly open the door because of the lack of space to the bed, avoid if you have suitcases. "
1,The propert and location were absolutely magical.
0,"The room is ok, spacious and comfortable. The location is also good, convenient to the main museums and tramway to central station. The bathroom is just too small, and if people with heavy luggage not recommend to live here as the room is at the 4th floor with very narrow stairways. "
-1,"Here's how the scam works:

- List an AirBnB in a popular location for a reasonable price.
- About five hours before the guest checks in, tell them that there is a ""problem"" with the room, and direct them to stay in a completely different room than what was advertised.
- Since the guest has such short notice, all of the alternative AirBnBs are already rented, or prices have gone up.  You've got them right where you want them.  They have little choice but to accept!
- If the guest does not accept, then try to trick them into canceling, so that they have to eat the AirBnB fees and you don't.
- Rinse and repeat, until AirBnB shuts down your scam.  Luckily, there's not much to worry about there."
1,"Jurjen was a great host. We flew in early and he was there to let us in and help the place get cleaned earlier than 3PM (usual check in time). This was SO appreciated as we had flown 10 hours and my kids were exhausted. 

The flat has a great location. The fourth floor unit has a deck that is wonderful in the AM for breakfast and also great for a beer in the afternoon. The flat is clean and well organized. 

This flat does not have AC. We were stuck in an awful heat wave (as was the rest of Amsterdam). Small fans were inadequate. Jerjen tried to find larger fans for us but the entire city was sold out. I think in a flat with no AC that these fans may be required for rare instances when it is really hot.

Overall, enjoyed the flat and definitely a good stay if visiting Amsterdam."
-1,"If you are thinking of booking this place, don't. The worst Airbnb we have ever stayed in. This is all done through an agency which we didn't realise (not sure this is even allowed on Airbnb). The person who ""welcomed"" us was late, gave us the keys, and left - our welcome lasted about 30 seconds... 

We got into the flat, made our beds and noticed a funny smell - it was the bed sheets. They must have been washed and then left in the washing machine for a while. It smelt like wet dog, sp unpleasant and disgusting. It made me feel quite sick to be honest.

On our departure day we were told we had to be gone by 11, which was absolutely fine until the cleaners decided to turn up at 10:45 when we were still getting ready. We felt completely rushed. 

Last but not least, this flat is advertised as a 2 double bedroom place, and it definitely is not. I even double-checked this and got written confirmation that it was 2 bedrooms before booking, but when we arrived we realised it was a one bedroom place with a sofa bed in the lounge. The sofa bed was awful, the most uncomfortable thing I have slept on, they clearly wanted to save money and bought the cheapest sofa ""bed"" (not sure you can refer to it as a bed to be honest). 

Fair to say we will definitely not be going back, the worst experience I have had on Airbnb by far. Do not book this place - it's falsely advertised, the sheets are disgusting, and the fact that it's managed through an agency completely goes against everything Airbnb is about.

"
1,"Thanks to Antoinette and her family! The house was really great, and the welcome was perfect. Even with an horrible weather, it was an amazing trip!"
1,"Dominique's boyfriend welcomed us and and made us feel welcome. The apartment is just a short walk from the Centrum and from Centraal Station. Everything was clean and well set up for visitors. I would not recommend this apartment for anyone who has trouble climbing stairs as it is on the top floor and they are quite steep, but otherwise it is a great place to stay, would definitely recommend."
1,"I had a great pleasure to stay in this apartment! Lasha is very friendly, kind and funny, I'm glad I know him! In the apartment there are all conveniences, if you need something - Lasha will help you. Good location. Thank you one more time, and say hello to both lovely cats. I will return for sure there!! 100% recommend."
-1,"The apartment is located away from the center in a very isolated area , the nearest supermarket is a 15 minute walk and it was really tiring. The price of the house is really too high .
Adjoining apartment with two other , no privacy . 
The door did not lock and we could not be quiet ever.
Bad Experience. 
Not recommend."
1,"Very cozy, Calm and good neghborhood, Spaceious, Great choice to stay with family and friends also. Metro is in 5 min walk and it goes straight to the center. "
-1,"the house is located in a quiet neighborhood near Museumplein, it is well connected near to the tram stop.
the problem is the presence of mouse in the apartment, so that we could not use the kitchen or sleep in peace. damn!
claire unfortunately does not live close, so we had to try to plug the holes in the apartment.
bad experience"
-1,"I will definitely thing twice to go back to this apartment. The neighbourhood was not the best one, this for starters, and then the communication with the host was awful...Plus, when we left the room we have and extra charge of 50€ for no reason. And the response to that from the host was: Contact Air B&B..this is not my problem basically....lame....just lame..."
-1,"I definitely would not recommend renting this Airbnb.  Ruben, “the host” never showed up to the check-in, even though he was the only person I communicated while booking and confirming the reservation.  Never once did he mention he would be having his proxy,  a sleazy, rude, Con-artist named Marco hosting the check-in.   When I arrived to check-in,  Marco made me feel extremely uncomfortable.  So uncomfortable, I made reservations for my entire trip elsewhere.  Luckily I was able to get a full refund, but beware of this scam Airbnb!!!  He will attempt to cancel your reservation last minute or tell you it’s no longer available after a confirmation."
-1,"Yeah well in general the place is ok the location is ok but for tourist it's a bit far
Nice and clean good check in
The problem is that instead of 2 bedrooms as we paid for, we found 2 mattresses (without the beds ofcourse) in the middle of the living room. The outside room stinked from glue and fresh paint in a way no one can be there for 5 minutes.
So we actually had no living room, no 2nd room, we did have back pain.
They didn't even clean the garden so you don't see the floor from all the leaves. 

In general- big disappointment, if I ever knew I'll sleep in that way I would never take this place.. I see it as scam, there is no reusable explanation, there is no excuse for what they did.. bottom line they lies, charged money as 2 bedrooms, and what we got is one small living room..

Too bad!!!"
-1,"WORST Airbnb experience ever, this place is a scam. I am going to keep it short as there was to much wrong with this place and with the host. 1. BAD COMMUNICATION, not answering phone calls, very slowly to reply or not replying at all our messages, the host is super charming and friendly in your face but doesn't care at all about your wellbeing or your time. The place wasn't ready by the time we arrived at 3pm and the host told us to wait another 2 hours, we were tired and wanted to settle in the boat. He also told us check in is normally at 3pm while the website states 1pm. It was a very FRUSTRATING CHECK-IN. 2. There was NO proper HEATING and NO HEATING at all most of the night provided in the boat and we've been told by the owner the central heating didn't work (which afterwards we found out was a lie) Its wintertime at the moment and it freezed at night, the temperature dropped INSIDE till 6 DEGREES CELCIUS and the small electrical heating unit run out of fuel at 2.30pm at night. We had to move a mattress into the living space because there wasn't any heating at all in the other rooms or bathroom. We could see our breath becoming vapour inside the boat. We couldn't reach the owner in the morning to ask for extra fuel and had to call airbnb help service again. After a long and cold we finally managed to get in touch and got extra fuel. 2 hours before our check out we find out from the host the central heating does work, so the last hour of our stay the living space was finally heated to 20 degrees. We couldn't believe the host has put us in a cold boat without proper heating while it was freezing outside, this is not responsible at all. 3. There was NO RUNNING WATER, we were told upon arrival that there wasn't running water so we wouldn't be able to use the bathroom and kitchen sink. and instead had to use not very clean shared shower and toilet outside in a little building. I came eye to eye with a DOG at night when going to the bathroom, a SCARY experience. This has been an issue that has been there for a longer time because we saw the previous guests had the same issue as it was written on a sign in the kitchen. If we had known this beforehand + that it would have been such a cold boat with no proper heating we wouldn't have stayed there and we would have booked somewhere else. 4. the TOILET was STINKING and NOT FLUSHED, there was still some water in the bath tub not sure why. 5. The kitchen cutlery and pots were DIRTY and the KITCHEN APPLIANCES DONT WORK, don't expect to use the gass fire, oven or dishwasher, these are all turned off and not working...."
-1,"BAD EXPERIENCE
THE ONLY POSITIVE THING OF THIS ACCOMODATION IS THE CENTRAL LOCATION IN TOWN.
YOU DON'T GET THE FEELING OF BEING AT HOME. 
YOU NEED TO FOLLOW THE STRICT RULES OF SAM Y A. EVERYTHING WRITTEN IN THE AIRBNB SITE BUT
1. IT IS NOT WRITTEN THAT THE BATHROOM IT IS SHARED WITH SAM AND HUSBAND.
(website hidden) SEEMS THAT THE RULES ARE ONLY FOR THE VISITORS AND NOT FOR THE OWNERS.
I CAN CALL OUR BAD EXPERIENCE AS BEING IN A BOARDING SCHOOL WERE YOU HAVE ONLY DUTIES TO FOLLOW.
IT DOEN'T FIT INTO THE AIM OF AIRBNB.
TERRIBLE EXPERIENCE WAS THE LAST MORNING WHEN TAKING A SHOWER AT 7.15 AM BEFORE LEAVING TO THE AIRPORT , SAM KNOCKED THE DOOR COMPLAINING THAT IT IS NO TIME TO TAKE A SHOWER BECAUSE EVERYBODY NEEDS THAT PLACE."
-1,It Was a really bad experience. The house it was really dirty in general and there is a hole in the kitchen with 2 RATS. DISGUSTING
1,"Imani was waiting to greet me at the apartment at check-in time, and was friendly and welcoming.  As other reviewers have said, the apartment is within easy reach of the centre, and is in a safe and quiet area, with plenty of shops nearby. My room was spacious and comfortable. I enjoyed my stay at Imani's and recommend it."
1,"Judit was a good and kindly host.She gave us flexibility with check-in and check-out. The apartment is just as you can see in the picture, very comfortable for two people! The neighborhood was very quiet. Even if the apartment was not very close to the centre,with season ticket we explored Amsterdam very easly! "
-1,Awful location for the price. Everything is far! We were not provided enough toilet paper either. Avoid!
-1,"A very very bad experience! 
We waited 2 hours and 15 minutes in the bar near the room for Bema's ""friend"" (not sure he was a friend, rather an employee). The house is full of people, at least from two different families. The room is not even separated by a door from the rest of the house. The room is cold even when the heater is on. The front door of the house was open when we arrived (so that anybody from outside can enter into the room). We felt so uncomfortable and unsafe that we went in a hotel instead. We don't recommand this room at all!!!"
1,I love this room so much!!　The location is reachable by metro in 5 mins. Andrea gives the warmest welcome during our stay. Can't wait to arrange next stay ! Highly recommended!
1,"Imani was very nice host. The room had separate entrance, what was very convenient and gave us privacy. We got towels and shower gel. The place is quiet with a park nearby and it is easy to reach with public transport. "
-1," small, unwelcoming at a start, which would be fine if not fairly overpriced. The  door on the bathroom was broken, the handle kept coming off whilst opening door, the heat was unbearable it hits you like the Sahara as you climb the last of the 150 steps up to your 4th level oven, no fan and Windows barely open, awful pillows make sleeping a nightmare, better off using your socks as a sleeping device, the ungodly smell that resonates from the bathroom makes even brushing your teeth dreadfully unpleasant, the neighbors are obviously not to thrilled about having a air bnb in the building the one man I did encounter was very unhappy at my few failed attempts to open the stiff front door, hosts were nice and informative but that's where the pleasantries stopped, area is very nice, beautiful location, too bad the room didn't get the memo . whilst searching for what animal died in the bathroom you will come face to face with the 1 meter high step into the shower, which would only be moderately dangerous if not for the washing machine 30 cm from the showers entrance, thus turning in into a death trap"
1,We had a great stay in Amsterdam at Imani's flat and I would absolutely recommend it. Great place not to far away from the city center. Thank you very much for your hospitality! :-) 
-1,"It's a very bad experience for 4 nights in Amsterdam. The room is noisy and dirty. I
have to share the small house （of course bathroom，washroom ）with other 6 people or more. It is very noisy in the night and early morning. What is fucking is that they force us changing our room only because they wanted to rent our big room to 3 people for more money. After，it is absurd to move our luggage to the original room even without our agreement. The room is not private at all because of its transparent window. The only advantage is the cheap museum card renting. However,  they withdrew the train card renting just the day before our reserve. Also, public security of their house is bad. In
a word, it is the worst experience in Europe for me and I advise you not choosing their house."
-1,"Can't say he's a bad host but I had a bad experience with airbnb overall. I was on my way to Amsterdam from Bruges. None of the trains had Wi-Fi service that day so I couldn't make a reservation in advance. Once in Amsterdam I had issues with the application. It took a very long time to process the reservation(about an hour) and just kept loading infinitely. I gave up on the app and closed it. I made a hotel reservation elsewhere and 30minutes after that the airbnb app finished processing the reservation. I immediately cancel it. 

I explained my situation to the host which he failed to understand and won't refund me because of his ""strict"" refund policy. This in no way is fair or good business practice. Airbnb on the other hand says my case does no qualifies for a refund. 

So basically I gave away $273.00 for a reservation I never enjoyed. Will never use airbnb again. I'm sure it has worked well for others but in my particular case it didn't. On another note, the profile states check in at 5:00pm. The host wouldn't be able to let me check in til almost 7pm. So yeah. Horrible experience. Had a good time at the city at least."
1,Perfect location in Amsterdam. Nice apartment with excellent view of canal
1,Enjoyed our stay here
1,"We absolutely loved our stay here. The house is superbly located in an area that’s the perfect mix of local residential, but just a stone’s throw from all the sights, great restaurants & picturesque canals. It’s very close to the nine streets & royal streets shopping areas and 5 mins walk from the Noordermarket, all of which we loved. We walked down to Museumplein in about 15-20 minutes, but the no 5 tram stops just around the corner, so it really is a super place to stay.  Quick shout out to the restaurant bassia just a 5 min walk away, and the nieuwe leliestraat cafe (pub) just a block away, which felt like our local after the first drink :)   Michelle was a great host (the generous welcome basket is a lovely touch) can’t recommend the whole experience highly enough."
1,"We had a nice time in Jessica's apartment. Everything was as expected. The apartment is located in a quiet district of Amsterdam. Supermarket, restaurants etc. are all very close. By public transport you can easily reach the city center. Jessica was very friendly and reliable. Thanks a lot for this."
-1,"first of all, the apartment has a very good location, however, there are too much problems:

1. we have disscussed with Twan that someone will wait for us in the apartment when we arrive, but nobody was there. we had to wait one hour outside, with a five months old yelling baby, in about 7 degrees and rain till we got a message from Twan to pick up the key from a bar which located 10 minutes walk from the apartment.

2. the apartment was very different from what we expected. the floor heating worked very bad (it was cold); the toilet seat was broken; no shampoo as promised; the bath stands on a kind of stage so if you taller than 1.80 m you should bend in order to have a normal shower; in the upper floor, there's no heat at all!! 
of course we discribed the problem to Twan and he promised to take care. 

3. at our 4th day, the light in the shower went off and we had a shower in the dark. 
we told Twan about the problem and only day after he sent a handy man to fix the it. at our last day!!!
then he also replaced the toilet seat.

4. the last one and the most ridiculous: Twan send us a request in AIRBNB to pay him 100 EUR more for a damage that he states we did.

the buttom line: we are very disappointed about the bad experience we had.
"
1,"Renske was a great help, even picked me up from the airport when my flight was delayed. Location was perfect, and an ideal apartment for one person or a couple looking to enjoy Amsterdam. Highly recommended!"
1,"Perfect for a couple , close To the metro or not too far from the City center if you enjoy To walk a bit , practical and comfortable place, a lot of restaurant, parks and more nearby ! 
Eveything you need at home ,even bicycles ! Go yourselves you won't regret !"
1,The room was very clean and spacy. Andrea was a perfect host. We enjoyed our stay in every way!
1,"My husband and I rented this apartment for a week.  We loved the location, very close to shops, cafes, restaurants and public transportation.  We were greeted by Anouk's father, Carl and later met Roland when he checked in to see that we were settling in acceptably.  We were unable to meet Anouk, who was busy having a baby!  :)

We found the apartment to be as expected.  It is a walkup and is the top floor apartment.  The weather was relatively hot while we were visiting, and without air conditioning or fans, the apartment could get pretty stuffy, even with all of the windows open all day and night.  

That was our only real disappointment, and that the clothes dryer was not working  during our stay.  The apartment was in pretty good shape, though certainly lived-in feeling.  Anouk and Roland have great taste and it was fun to look at their decorating aesthetic.  The neighborhood is fairly residential and was very beautiful.  The Dylan Hotel is literally right next door, which meant that guests (usually wedding party guests) were quite jolly and festive (read:  LOUD) until early morning hours on several evenings during our stay.  Overall, it was a good experience and a great way to see Amsterdam from and Amsterdammer's point of view."
1,"Wonderful apartment, in a calm, typical Amsterdam street, 5 minutes on foot to Central Station. We really had the feeling of being at home while at the same time indulging ourselves in the real Amsterdam flavours.

One note about the host:
When we arrived, Mike was here to welcome us. He informed us, however, that there had been a problem with the booking, that it overlapped with the one of the guests already in the apartment ... so that we could only move in the next day in the apartment. We were pretty upset, but Mike was very calm and accomodating: they offered to find us a hotel in the area, or to move us to another similar apartment. We picked the later one, and they paid for the cab that took us there, the cab that drove us back the next day, AND paid us back the 1st night, as compensation for the trouble.
Although we were quite disappointed and lost quite some time moving from one apartment to the other (the other one was also not at all the same standard as this one ...), we were very impressed by the professionalism, the responsiveness and the friendliness of Mike.

So overall a wonderful experience, of which we retain the souvenir of an amazing apartment and ... an unexpected adventure ;)"
1,"Had a fantastic stay at Erwin's place. He gave us some amazing tips of places to eat and activities to do over the weekend. Was extremely welcoming and very understanding about our awful delayed flight, even gave us a lovely bottle of wine as a welcome present! Cant recommend him highly enough. The flat was lovely and clean, in a great location, only 3 stops to the centre of town, took 10mins max! "
1,"Upon arrival we were warmly greeted by Marielle who offered to help us with our luggage. The apartment was bright, clean, airy and warm (which was perfect seeing as it was awfully chilly out). Marielle provided us with with her own written handbook of the city which made it very easy to choose restaurants. She was happy to answer any questions and also sent us useful information about getting to and from the airport. The apartment is in a fantastic location, everything is pretty much within a 20min walk so we found no need to use public transport or taxis. Overall a very good experience and I would stay here again."
1,"This was a great find and in a great location! The unit was extremely clean and modern as described! There are plenty of walking distance restaurants, coffee shops, museums, red light district, historical monuments and of course the Damrak!

One side note is that the stairwell has extremely steep steps from the street level to the apartment and the railing in the stairwell was (URL HIDDEN) was loose and not attached to the wall which could present a dangerous hazard; not recommended for elderly, children handicap and pregnant women. Luggage will take time to bring up and down from the unit. "
-1,"we booked this place months in advance, 6 days before our arrival we were asked to check in later than we had agreed upon it was not what we wanted to do but we were kind of left with little choice being 6 days away so we said ok, Catalina gave us $50 refund which was nice but totaly not worth the stay.  we arrived to find construction all over the place and were given no notice of that and there was sand everhwhere that we tracked in from the construction, we dropped our bags and asked catalina's mom (whom was staying there) when we should return and she said 11am.  we went back at 11 and she left 2 hours later.  the place had mothballs under the beds, grind on the stove, really just dirt all over. on our second day we woke and could not get the stove to work, not a big deal so we went to get coffee elswhere then we went to  (ann frank, van Gogh and heiniken tour) a full day.  we got back home to find a worker who told us the gas was shut off, and later we discovered it affected the water and had no hot water to shower, we emailed catalina right away.  she had replied to every email i sent before that within a couple hours but this time she got back to me long after we had already left amsterdam the next day. turns out a simple reset button needed to be hit and the water would be turned back on but we were not given that info, instead we were insulted and told we were dirty  and we were unreasonable because we asked for more $ since we could not shower.   really bad communication if there is a problem you will not get a reply, had she replied with how to rest the water we could have showered and we never would have asked for anything else.  also i would add that we did leave dirty dishes in the sink but exuse me if i cant clean myself  why would i worry about 3 dishes?  avoid this place if you bring a woman with you as the bathroom is nasty, and you can find better places with equally good locations.  Catallina seems to be a bit unexperienced when dealing with problems and people. i would highly recommend staying anywhere else..because she compensated us for an Inconvenience at the beginng she felf she owed us nothing else for this major invoncienince of not being able to shower, not even an appology...i will be returning to Amsterdam its a great town but this place was awful and the way we were treated by the host is really unfortunate for her.  we accomodated this host more than she accomodated us and that's rediculous"
1,"Excellent apartment and host! Commicated with the cleaner which allowed us to check in early. Stayed on a Thursday and Friday night and despite the central location noise was not an issue. 
Only downside was that the apartment does get very warm despite a powerful fan being provided (it was 27 degrees each day) but we'd definitely stay again."
1,"The apartment was clean, comfortable and conveniently located to access everything we desired. The neighborhood was quiet and clean. There was good restaurants near by (my fav was Jan 19 for breakfast.) It was a lovely experience and I highly recommend Koen's apartment.
"
1,"Great area, top floor...  Would stay again.
"
-1,"I was very clear and specific when I asked if parking was included when I initially messaged Eva. She replied yes but upon our arrival told us we could leave the money for the parking on the table as we left- and not only that but the parking in question wasn't even available. This is a clear violation of terms of service and felt like a travel scam to us. Parking in Amsterdam, especially this area, is a nightmare and so this caused numerous issues and was incredibly expensive. Poor communication, or even worse, purposefully misleading. I would never book any listing with these hosts because of this alone but otherwise the room was fine. The location was directly in the middle of the famous Red Light District and that was quite an experience."
-1,"Very bad experience . Photos does not show reality,it is suitable for couple. Stairs are awful to maintain ur lugged. The market start so early with noise. Standard of cleanness was so low. Price toward apartment is not fair, we had a mouse as guest !! An experience never to repeat . Sorry"
1,"Andrea is the best host we have ever stayed. She is so helpful with everything. And we appreciate that so much! As for the room, it was absolutely outstanding, we had thee best sleep. Is sooo clean, and everything was in place! If i ever return to Amsterdam, i will definitely stay there! Thanks for everything Andrea!!"
1,"We have nice time @ Astrid's place. Astrid is very nice and kind host. the room was clean and big enough for 2 persons and the kitchen and bathroom are just perfect !
the location was about 8 min walking from metro and metro takes 20 min. maximum time to reach city center. 
Just a perfect location to stay
.  

"
1,"Great space, clear, nicely appointed room and common area, good location, overall fun concept. I did have one bad experience with a staff member but the rest of the staff was super nice."
0,No one could reach our host and we were stuck with our luggage because there was no storage anywhere . he would not allow us entry until 430 pm we arrived at 10am so the first day was awful. The fridge had a small freezer in it the stove didn't work so all our food went bad over the week very disappointing . the bathroom with the shower and bath doesn't have a door so no privacy was extremely frustrating for all of us. The location was perfect in Jordan with quiet beautiful neighbourhood safe with friendly locals. Everything was close by to walk or bike and the inside decor and design of the apt is breathtaking :)
1,"Astrid's apartment was amazing, great location, very clean and she was very helpful and communicative upon our arrival. Thank you for making our vacation in Amsterdam great!"
-1,"this room is very small, too small for two persons.  Even our two only luggages can't be opened and placed inside the room.  This room is just right close to the street and you can hear everything from the street very clearly. I am a very good sleeper, but I couldn't sleep the whole night.  And the mattress is very awful, when you lie down you will feel the hard iron wires, very uncomfortable....       "
-1,"All should be aware that this Airbnb is managed be a third party company. This review is not a commentary on the owners, who generally have a lovely apartment. We had a very disappointing experience in this Airbnb, because of the management company. The kitchenware in the apartment was moldy and dirty even though cleaning is supposed to be provided. This was the least of our issues. Due to the unpredictability of travel, we were slightly late arriving to the apartment. The management company charges a 20 euro fee for this. However, the representative was AN HOUR AND A HALF late to let us in to the apartment and STILL charged US a late fee. This is unacceptable. We emailed as soon as we knew we would be late and we're told that we wouldn't be charged and were STILL CHARGED by the representative. After paying 172 euros PER NIGHT, this is inexcusable. For the price and the ridiculous hassle of dealing with Iambnb (the managers), you are better off finding somewhere else."
1,"I could not recommend this host more! Her home is just beautiful! It is a lovely 15 minute walk from Dam Square, great location. We arrived and she had laid out waffles for us, food recommendations, tourist guide to Amsterdam and mini toiletries. The house is so clean and in a lovely area. Eveline was so helpful giving us tips on places and also helping us find the best way to get to and from the airport. I would stay again next time I return. Brilliant location and brilliant house at such a good price! "
1,All basic necessities are present. The host waited for me at the location though I was late.
0,"Wely's flat was in a good location with easy access to central station and all the touristy places around. The bedroom and living space were large. Espresso coffee and chocolate was a nice touch. The pillows were dirty and I felt itchy. The sofa had lots of stains and dirt. The shower is in the kitchen with a shower curtain and no mat, so you step into the kitchen to dry off. The toilet is really tiny with a lopsided toilet seat and a barely there sink with just a cold tap. Not good for anyone who's tall or even remotely large. No shampoo was provided. The windows are nailed in so you can't open them wide and it got hot in the night. Lastly, the check in process was a bad experience and no help was given in finding the flat even after I called. A lot of this depends on you checking the booking confirmation and the long list of rules and the house manual. I was made to feel quite stupid because I hadn't checked this and so I had to ask about a lot of things. If you book this apartment, make sure you read the manual and list of rules and take snaps of them. If you don't have Internet on your phone, you won't be able to check your booking confirmation and get the wifi password. "
-1,"This apartment is in a perfect location, however the apartment it self isn't up to the standards of photos shown! The apartment is smaller in person! It wasn't very clean! There were building works going on in the next apartment from 6am in the morning! The windows don't open! There was an awful musty odor every time you walked through the front door! Including the sofa bed! We didn't eat in the apartment but still managed to find crumbles left on the floor from previous users! Cleaner did an awful job! We had no proper welcoming pack and spend 2 days trying to figure out how to work the TV which should have been made easier! Every time we contacted the Iam BNB company they would always read messages and take ages to come back to us, sometimes. It even coming back at all! We had to just turn up at the office one day to make a face to face complaint! When you're away on a break you don't want to have to deal with all of the headache that we dealt with! We live in London and lead very busy lives and wanted our trip to run smoothly and it didn't, it just felt like a job!"
1,Location and apartment were great! Stairs aren't as bad as they first seem since you are in Amsterdam after all and would definitely stay there again! No complaints whatsoever 
1,Maceo was a great host with a wonderful apartment which was perfect for strolling the streets of amsterdam. 
-1,"Really bad experience.
1st electric kitchen never worked.
2nd room very cold and when we ask about it to owner. Just say check it. Or turn it hotter. Never whent to check if problem was fixed. (Or at least a text msn)
3rd bed makes allot of noise.just if you seat. Its amaizing seems its going to break.

Amsterdam was amaizing. But if you can stay away of this place. Much better. Look for something closer to town.

And just at the departure had chance to meet the owner. But of curse. When we where leaving and for 2 seconds. I been traveling for all Europe now for almost a month and always with airbnb. And this was terrible experience."
0,"The host made us very welcome, just a little disappointed about not being offered tea or coffee on arrival and the hosts saying that they had run out of coffee. No breakfast offered in the morning and the hosts not getting up or even offering tea or coffee. The room was nice and bed comfortable. Parking was excellent and just a short tram ride to the city centre. Found it quite easy to get about on the tram. Would recommend Lita's accommodation. My only concern would be that they shouldn't advertise breakfast if there not able to provide it, therefore should lower the cost. I would also suggest keeping the kitchen clean and free from washing up is guests wish to use it, as a little off putting.  "
